1FdPpELnjHfwSM4Nvi7LdYS4S4GVGsLUQY -> totalcnt: 174, realcnt: 52, vericnt: 52, maxBias: 9, maxCnt: 1, rfound: False
15H9kPoYYM6DLYxjGG9irXtgGcujppgn1w -> totalcnt: 40, realcnt: 4, vericnt: 4, maxBias: 1, maxCnt: 0, rfound: False
1YvCWqSpARRY7tyguMaPXHD9GCRyc74Hh -> totalcnt: 412, realcnt: 103, vericnt: 103, maxBias: 1, maxCnt: 0, rfound: False
12yqLsUvrULLvejhJMWnTcEQ7xhHCoSEGC -> totalcnt: 586, realcnt: 149, vericnt: 149, maxBias: 1, maxCnt: 0, rfound: False
1PaJvUDUKm3Xr4FJJZS53ooNFFZXVZk3v -> totalcnt: 80, realcnt: 14, vericnt: 14, maxBias: 1, maxCnt: 0, rfound: False
1LbpBu1oph1VG1hEZpB2CbBq6oF5AuptF1 -> totalcnt: 169, realcnt: 42, vericnt: 42, maxBias: 1, maxCnt: 0, rfound: False
1PKjVoi9gKHXsKqgPxMJ1WL3MrHApGtCKz -> totalcnt: 49, realcnt: 10, vericnt: 10, maxBias: 1, maxCnt: 0, rfound: False
1Ggx4oQ5A8xwZ2s6A2rsTQ9ZdsWFgwSRvq -> totalcnt: 99, realcnt: 23, vericnt: 23, maxBias: 1, maxCnt: 0, rfound: False
15WUGm6CWjszy7DRKh5qcxKnpXDcnLyZt7 -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1DEfMuUGRhvoQE7cxgds3nYjRZzzhfJ9jc -> totalcnt: 147, realcnt: 36, vericnt: 36, maxBias: 9, maxCnt: 1, rfound: False
16fXTTLZRft6eWb32zSihvGXSgZ6QmDQBB -> totalcnt: 227, realcnt: 57, vericnt: 57, maxBias: 17, maxCnt: 1, rfound: False
131nJk1syuUqjeqDenGEotWjTTwaUsPV7o -> totalcnt: 186, realcnt: 27, vericnt: 27, maxBias: 1, maxCnt: 0, rfound: False
1Jkn9wg1WbJdASNBPtQqdmm7wtrcSiATbf -> totalcnt: 183, realcnt: 29, vericnt: 29, maxBias: 1, maxCnt: 0, rfound: False
1BEo8UbSjo3xk1w2EHogkbK2kTQQxaJ4yM -> totalcnt: 25, realcnt: 6, vericnt: 6, maxBias: 1, maxCnt: 0, rfound: False
1Mdks71WqGBWM55StC2ZpDbYq6Thx1HYFT -> totalcnt: 95, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1AVWwZuJcu6ftCs3dfxqfAWfUUbNZuTfSe -> totalcnt: 59, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1wHWG4zEXTULxrtS62eMemzzWB3SyTghG -> totalcnt: 5, realcnt: 2, vericnt: 2, maxBias: 1, maxCnt: 0, rfound: False
