1ECJUQu18xc5DCVNjGhYfnCHZ9fhC1shv2 -> totalcnt: 83, realcnt: 24, vericnt: 24, maxBias: 1, maxCnt: 0, rfound: False
1PaX6sC4zC8HgGTUFcoAm3y8MfRw3W1ujo -> totalcnt: 303, realcnt: 74, vericnt: 73, maxBias: 1, maxCnt: 0, rfound: False
1HtUGfbDcMzTeHWx2Dbgnhc6kYnj1Hp24i -> totalcnt: 802, realcnt: 206, vericnt: 203, maxBias: 9, maxCnt: 1, rfound: False
16hjASdE3YkQ9N2SsrLBe9uuTAfUg9Urue -> totalcnt: 89, realcnt: 19, vericnt: 19, maxBias: 9, maxCnt: 1, rfound: False
1FxkfJQLJTXpW6QmxGT6oF43ZH959ns8Cq -> totalcnt: 97, realcnt: 25, vericnt: 25, maxBias: 1, maxCnt: 0, rfound: False
1A1zoBN1pAWWF1MepoVNPhKbNAjWouNNtA -> totalcnt: 50, realcnt: 12, vericnt: 12, maxBias: 1, maxCnt: 0, rfound: False
1Dhd2V19w7zLaXrK1zPp2eES6Km1cBVzDs -> totalcnt: 112, realcnt: 24, vericnt: 24, maxBias: 1, maxCnt: 0, rfound: False
1LNKq42Hx6nsWCyBsxKCDqdF3btBbufnQT -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1GFzB5NBL8Veei13YvMbJuZDLzfX8F8Cax -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1VjjCaijwk2jz2Yp3nu9iPvSVo89STBj7 -> totalcnt: 57, realcnt: 13, vericnt: 13, maxBias: 1, maxCnt: 0, rfound: False
1NASTYfxUpKPwin7b1KTBFjeeofrLSgXDJ -> totalcnt: 95, realcnt: 24, vericnt: 24, maxBias: 1, maxCnt: 0, rfound: False
15j5FBxZwSAseweaB6wemxKpzn3tjy7xR6 -> totalcnt: 115, realcnt: 37, vericnt: 36, maxBias: 1, maxCnt: 0, rfound: False
16uce8E7DuqC5QNmsjMLcbZEmLcUBRGqaj -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
17yAUuzH11EbTgV16iGyFEznJXjgJ7uNLM -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1HjF2FowKxRp5YdVT7VZ5KhZnxj9fwDp2b -> totalcnt: 422, realcnt: 108, vericnt: 108, maxBias: 9, maxCnt: 2, rfound: False
1N6GqhUzPnGoCHfu8Hg8vysSMtaE8xxNyn -> totalcnt: 198, realcnt: 39, vericnt: 39, maxBias: 1, maxCnt: 0, rfound: False
1BT4aWcmeJ8MiUdBAWi2CXmySj9iKhjCzi -> totalcnt: 510, realcnt: 115, vericnt: 114, maxBias: 9, maxCnt: 2, rfound: False
1PtyVAp3oMnUuGuyHNQT4SPLng2dYQnoGt -> totalcnt: 479, realcnt: 118, vericnt: 118, maxBias: 1, maxCnt: 0, rfound: False
1KA77khqMHjdkxeqNDEBfrb5zH8f1UJ2hP -> totalcnt: 317, realcnt: 83, vericnt: 82, maxBias: 9, maxCnt: 1, rfound: False
1NUmTcZFfBFovKrEnJWPuzL5ZdvXBp3qBe -> totalcnt: 122, realcnt: 37, vericnt: 37, maxBias: 1, maxCnt: 0, rfound: False
1LPm2QEM8oYJ2rnjWXaBv2hxk2CmJEDYko -> totalcnt: 96, realcnt: 14, vericnt: 14, maxBias: 1, maxCnt: 0, rfound: False
1DLLPuKUYHZZAzLDj7EygC7wT3RBZWY7PL -> totalcnt: 124, realcnt: 27, vericnt: 27, maxBias: 1, maxCnt: 0, rfound: False
1D6iKuvMstY5vBSceLLqSU74jDYrLNF8RH -> totalcnt: 288, realcnt: 73, vericnt: 70, maxBias: 9, maxCnt: 1, rfound: False
19iEmGBveF3Ey4NCVUhbnGVRqSGt513LLx -> totalcnt: 435, realcnt: 129, vericnt: 128, maxBias: 9, maxCnt: 2, rfound: False
115tTroRo3B9ZDQ6ATJGDCHcNEVbjJoZnF -> totalcnt: 572, realcnt: 150, vericnt: 149, maxBias: 1, maxCnt: 0, rfound: False
1GTeuYrH8sQKV3a85dhRnfCcBijQUBwsuj -> totalcnt: 171, realcnt: 43, vericnt: 42, maxBias: 9, maxCnt: 1, rfound: False
19ZpwuGLbSMwCNrNMLTCw6tWJ1Q49dRcb4 -> totalcnt: 146, realcnt: 36, vericnt: 36, maxBias: 1, maxCnt: 0, rfound: False
1Jik8bQnwqY7DMxiXpxEqHEFZk6VcrBEqY -> totalcnt: 319, realcnt: 73, vericnt: 73, maxBias: 9, maxCnt: 1, rfound: False
1A4YnW1SCy7SSwgRSwAgSxZqbvRKAzH3iB -> totalcnt: 61, realcnt: 15, vericnt: 15, maxBias: 1, maxCnt: 0, rfound: False
13aZ4BU57SH2CSBkTzkvgSxu9eXom2fuBJ -> totalcnt: 200, realcnt: 53, vericnt: 53, maxBias: 9, maxCnt: 1, rfound: False
1469FB6nugQVgHmAkj7cYpVGAb6qZthkao -> totalcnt: 218, realcnt: 58, vericnt: 57, maxBias: 9, maxCnt: 1, rfound: False
141YannVqef9bzn3EPdFDeGC1LhGdMDw5e -> totalcnt: 148, realcnt: 32, vericnt: 32, maxBias: 1, maxCnt: 0, rfound: False
16NjrLBVKJtVvfConS5HSoDh9r83pJSwGb -> totalcnt: 270, realcnt: 50, vericnt: 50, maxBias: 1, maxCnt: 0, rfound: False
1NuEocoMUbW7A6P3pfTYn1cnLremrg7oAm -> totalcnt: 148, realcnt: 32, vericnt: 32, maxBias: 1, maxCnt: 0, rfound: False
1EWhStWmdkFgisT7MJMRFUW6cA5r7cftd7 -> totalcnt: 78, realcnt: 15, vericnt: 15, maxBias: 1, maxCnt: 0, rfound: False
1KiJbsmhE226z39yzwd8By33481HSbFApF -> totalcnt: 348, realcnt: 118, vericnt: 115, maxBias: 9, maxCnt: 1, rfound: False
13J4F54BJ3Q5GGWUczZyM7e6GURyGf5NtM -> totalcnt: 434, realcnt: 104, vericnt: 104, maxBias: 9, maxCnt: 3, rfound: False
1G3Cyx194o3yLbKFmzR4NtNE6fxJSRowkp -> totalcnt: 473, realcnt: 121, vericnt: 121, maxBias: 1, maxCnt: 0, rfound: False
16KwtArQoTWNhLWzqSwu2uKY5PeonHYi9V -> totalcnt: 120, realcnt: 37, vericnt: 37, maxBias: 1, maxCnt: 0, rfound: False
17DLcXdeo86gFkz94DcKPBjxEpzwnGySjP -> totalcnt: 71, realcnt: 20, vericnt: 20, maxBias: 1, maxCnt: 0, rfound: False
1JsRXWz336nGZZiJeuSuPQjHQQgfDPbvbF -> totalcnt: 53, realcnt: 8, vericnt: 8, maxBias: 1, maxCnt: 0, rfound: False
1KoEtrKgLumNkebmthBQ1Pe8EEW5EBD423 -> totalcnt: 78, realcnt: 18, vericnt: 18, maxBias: 1, maxCnt: 0, rfound: False
1HhHq9pmpWy2W4jAZEyyiNwHNNPhUu5jPS -> totalcnt: 66, realcnt: 29, vericnt: 28, maxBias: 9, maxCnt: 2, rfound: False
1J4XmvcNa76XQiR5JhtKAPZK6UYWDh65nX -> totalcnt: 57, realcnt: 6, vericnt: 6, maxBias: 1, maxCnt: 0, rfound: False
1FjATFo1MsGHFbmCK42k6F9fuote6DivGw -> totalcnt: 68, realcnt: 16, vericnt: 16, maxBias: 1, maxCnt: 0, rfound: False
1JZ6bYYAc6VcKZYsX3P3W5zZHHjREkm1C1 -> totalcnt: 179, realcnt: 54, vericnt: 54, maxBias: 9, maxCnt: 2, rfound: False
1CHEpS3rT5KNM5Fj6pmLzt38jZswYBfZpa -> totalcnt: 113, realcnt: 22, vericnt: 22, maxBias: 1, maxCnt: 0, rfound: False
1QJLcSnPPNczWdgM5nYLGfmhEGr87HBa9u -> totalcnt: 102, realcnt: 24, vericnt: 23, maxBias: 1, maxCnt: 0, rfound: False
1LZDAKBy8ZCNWd6bjWqUVr99miX6TyVicP -> totalcnt: 73, realcnt: 20, vericnt: 20, maxBias: 1, maxCnt: 0, rfound: False
127kbiEk9WTW2pM7P4FSF5L27fZAq9U8mv -> totalcnt: 66, realcnt: 13, vericnt: 12, maxBias: 1, maxCnt: 0, rfound: False
14QaoYNkT8CzuRYhjoti7K1jZa1ZRvaV7z -> totalcnt: 123, realcnt: 27, vericnt: 27, maxBias: 1, maxCnt: 0, rfound: False
13XTDg2WrtdvchWJdiMs9t2qZ3MPNZUM2V -> totalcnt: 132, realcnt: 33, vericnt: 32, maxBias: 1, maxCnt: 0, rfound: False
1EP8CJdgFSiJpob58PikmprkrnPiCDdvBv -> totalcnt: 65, realcnt: 26, vericnt: 26, maxBias: 9, maxCnt: 1, rfound: False
1NWdpSqd8zoUm62C61GiGugSaHZmbEntd2 -> totalcnt: 104, realcnt: 25, vericnt: 25, maxBias: 1, maxCnt: 0, rfound: False
19YBTK9C32QdqXTCLJCcoehuZS1RxdVCyK -> totalcnt: 52, realcnt: 17, vericnt: 17, maxBias: 1, maxCnt: 0, rfound: False
1AtatbiLnC6PcwSwgkMKVqtWeJRX8EEg8i -> totalcnt: 38, realcnt: 13, vericnt: 13, maxBias: 1, maxCnt: 0, rfound: False
1meqifSGmQK54CZSDWDiQqjLFvNrGpN8Z -> totalcnt: 92, realcnt: 23, vericnt: 23, maxBias: 1, maxCnt: 0, rfound: False
17v547z7tLt5vyMApghoKcema3EgSEiZaa -> totalcnt: 42, realcnt: 10, vericnt: 10, maxBias: 1, maxCnt: 0, rfound: False
1HydDBEHvwupazcEmzR2KHqmXZy2m4Jzw3 -> totalcnt: 59, realcnt: 18, vericnt: 18, maxBias: 1, maxCnt: 0, rfound: False
1FCpGM92VMP64fN3iCQYqGyDjDwC7TAuo6 -> totalcnt: 405, realcnt: 101, vericnt: 101, maxBias: 9, maxCnt: 2, rfound: False
17nAVaiMdPZ1wdnCxedL4BNS62cgrP4sQR -> totalcnt: 482, realcnt: 122, vericnt: 119, maxBias: 1, maxCnt: 0, rfound: False
1E5AQF4p55mko3YjrWKyUBuDK9C1r8YFtn -> totalcnt: 277, realcnt: 72, vericnt: 71, maxBias: 9, maxCnt: 1, rfound: False
151o1nbNX2Z97NJP1KYUquTEheA5HJpRYT -> totalcnt: 64, realcnt: 18, vericnt: 18, maxBias: 1, maxCnt: 0, rfound: False
1LSbhArUdPwjF84H2Gei5FVMWXyNz8B55y -> totalcnt: 115, realcnt: 21, vericnt: 20, maxBias: 9, maxCnt: 1, rfound: False
1Jjj421r8nAywDbcU1Uh7P6U7YhDvWoNmG -> totalcnt: 300, realcnt: 72, vericnt: 72, maxBias: 1, maxCnt: 0, rfound: False
15BJwmXx6bU8znS88C4BY4PQGe2jdjkiXa -> totalcnt: 493, realcnt: 130, vericnt: 130, maxBias: 9, maxCnt: 2, rfound: False
18G7T7y49swTUSXLRUtirUF9UD2FyiKNhP -> totalcnt: 227, realcnt: 67, vericnt: 67, maxBias: 9, maxCnt: 1, rfound: False
1Be1bBxEEepm8s2cn9bguKvgP7pUmrcHf9 -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1KGf2X44fTz3oXhEn3C9e8YYNsPQQoMsfW -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
18xkZPxqmx3zEcyVpZCACAaHsRms6b11Da -> totalcnt: 347, realcnt: 94, vericnt: 93, maxBias: 1, maxCnt: 0, rfound: False
16nZGoQcQxVa4Nxr1QAzpuAcd5iXYweQQf -> totalcnt: 149, realcnt: 42, vericnt: 42, maxBias: 1, maxCnt: 0, rfound: False
1G9brisesXwXsS3uhm9kjB9WvdCWXAwCvv -> totalcnt: 116, realcnt: 26, vericnt: 26, maxBias: 1, maxCnt: 0, rfound: False
